QTL_ID	Freq	MutEffect

618813.0	1.0	-0.0215893
561104.0	1.0	0.0831859
90196.0	1.0	0.00895286
595013.0	1.0	0.120702
470099.0	1.0	0.14473
191333.0	1.0	0.0870098
47305.0	1.0	0.0933936
522369.0	1.0	0.223444
14252.0	1.0	-0.0867465
9380.0	1.0	-0.023051
127863.0	1.0	-0.00905525
767052.0	1.0	0.040037
705093.0	1.0	0.251213
71268.0	1.0	0.120646
699951.0	1.0	-0.0376206
545200.0	1.0	0.215053
430256.0	1.0	-0.0892591
504243.0	1.0	0.0655868
131220.0	1.0	0.00677729
213227.0	1.0	-0.0956814
167744.0	1.0	6.80438e-05
229890.0	1.0	-0.132348
543070.0	1.0	0.0198388
114871.0	1.0	-0.154326
228706.0	1.0	0.0762612
727286.0	1.0	0.123271
65579.0	1.0	0.000129028
179000.0	1.0	-0.0342321
713870.0	1.0	0.215007
147745.0	1.0	0.0877408
293068.0	1.0	-0.244931
554474.0	1.0	-0.0256008
715588.0	1.0	-0.20564
365447.0	1.0	-0.0157557
528243.0	1.0	-0.173818
257653.0	1.0	-0.0736878
331597.0	1.0	-0.183237
678653.0	1.0	-0.15825
719969.0	1.0	0.0662794
282655.0	1.0	-0.0726731
798200.0	1.0	0.0161927
191200.0	1.0	0.207366
353293.0	1.0	-0.0146832
528197.0	1.0	0.0615711
721456.0	1.0	-0.131261
557089.0	1.0	-0.0488547
512966.0	1.0	-0.108217
550604.0	1.0	0.0786436
158209.0	1.0	0.005873
605500.0	1.0	-0.152941
196928.0	1.0	0.0102533
282941.0	1.0	0.198985
310175.0	1.0	0.100506
389417.0	1.0	0.0219243
226616.0	1.0	-0.0364966
197097.0	1.0	-0.00600436
168879.0	1.0	-0.141218
235140.0	1.0	0.0609552
460055.0	1.0	-0.0624333
689803.0	1.0	-0.0590885
580603.0	1.0	0.0379039
289245.0	1.0	-0.0245675
453021.0	1.0	-0.0703138
33599.0	1.0	-0.0255641
472894.0	1.0	-0.140811
729832.0	1.0	0.0577721
190507.0	1.0	0.223392
455304.0	1.0	0.0239582
449906.0	1.0	0.0265279
370816.0	1.0	0.148173
495104.0	1.0	-0.00707633
304846.0	1.0	-0.0523363
369961.0	1.0	-0.0494737
309671.0	1.0	0.286087
476067.0	1.0	0.0393749
234676.0	1.0	-0.226549
285855.0	1.0	-0.10156
336710.0	1.0	0.0132114
712447.0	1.0	-0.116894
674565.0	1.0	-0.0345797
370665.0	1.0	-0.137852
364422.0	1.0	0.0580232
295591.0	1.0	-0.112548
740059.0	1.0	0.0684004
513823.0	1.0	-0.159167
275746.0	1.0	0.189505
314992.0	1.0	0.0328967
676195.0	1.0	0.0326578
264654.0	1.0	0.0930457
89912.0	1.0	0.0808699
455921.0	1.0	-0.0844571
327362.0	1.0	0.180136
530488.0	1.0	0.0691637
568316.0	1.0	-0.0436146
730964.0	1.0	-0.129389
85847.0	1.0	-0.12576
674131.0	1.0	-0.0666047
809705.0	1.0	0.228001
334496.0	1.0	-0.0620704
506785.0	1.0	-0.0392085
573071.0	1.0	-0.0539973
267840.0	1.0	0.0186218
586067.0	1.0	0.000261836
336585.0	1.0	-0.107691
798855.0	0.787582	-0.0292576
618085.0	0.7507	0.0204152
712109.0	0.7507	-0.172207
737618.0	0.745565	-0.0184684
835636.0	0.718487	-0.133822
820756.0	0.676004	0.00543974
818872.0	0.676004	0.0688215
807721.0	0.665733	-0.169316
742473.0	0.661531	-0.196373
694943.0	0.661531	0.181878
829329.0	0.622316	0.0177554
792960.0	0.614846	-0.131724
832134.0	0.580299	0.155042
816081.0	0.490663	0.03603
819209.0	0.429972	-0.0068273
783996.0	0.419701	0.0155979
790705.0	0.419701	0.0389194
843154.0	0.356676	0.1765
731780.0	0.338469	-0.0139396
823299.0	0.323996	0.197408
824104.0	0.253968	0.106726
830737.0	0.248833	-0.00970997
836760.0	0.243697	-0.336629
791941.0	0.212885	0.161324
796988.0	0.212885	-0.12161
834530.0	0.188609	-0.0331841
841501.0	0.176004	0.116035
827221.0	0.165266	-0.247668
825992.0	0.161064	0.120545
827281.0	0.149393	-0.0433268
814999.0	0.142857	0.0519315
844474.0	0.131653	0.213134
847552.0	0.127451	-0.047184
813988.0	0.120448	0.14954
848865.0	0.113445	0.0869983
845916.0	0.110177	-0.042148
840850.0	0.109244	0.0198548
841966.0	0.109244	0.0283162
820971.0	0.109244	0.120587
772419.0	0.102241	0.000306316
844756.0	0.0980392	0.157925
843789.0	0.0845005	0.287919
844332.0	0.0830999	0.0228494
843141.0	0.0616246	0.376513
822694.0	0.0616246	0.0155489
843628.0	0.0616246	-0.542913
849016.0	0.0513539	0.173294
849675.0	0.0494865	0.0260228
848676.0	0.047619	-0.158139
841992.0	0.0471522	-0.169595
824344.0	0.04155	-0.317162
848274.0	0.04155	0.125793
849825.0	0.0378151	-0.110237
850042.0	0.0345472	-0.155646
848199.0	0.031746	0.137259
850055.0	0.031746	-0.0648054
849307.0	0.031746	-0.166672
770889.0	0.0294118	0.083948
849170.0	0.0294118	0.117541
841769.0	0.0266106	-0.36304
840252.0	0.0252101	-0.160409
849886.0	0.0238095	0.222715
848765.0	0.022409	-0.165006
842504.0	0.0214753	-0.297715
849610.0	0.0172736	-0.156743
850018.0	0.0154062	-0.00504931
847847.0	0.0154062	-0.146923
841933.0	0.0149393	0.131167
849756.0	0.0144725	-0.190154
844236.0	0.0140056	0.258026
849493.0	0.0135387	0.0631664
849631.0	0.012605	0.0973642
849678.0	0.0121382	0.0822329
850105.0	0.0121382	-0.0200824
850445.0	0.0102708	0.218564
850163.0	0.00980392	0.044911
848363.0	0.00933707	0.111081
848510.0	0.00933707	-0.0281393
849790.0	0.00840336	-0.151929
850176.0	0.0070028	0.458109
849944.0	0.00606909	-0.365447
849887.0	0.00513539	-0.127245
850364.0	0.00513539	-0.225026
849210.0	0.00513539	0.0287398
850010.0	0.00466853	-0.136762
850404.0	0.00466853	0.123822
850259.0	0.00373483	0.0440503
848722.0	0.00373483	0.0454734
850381.0	0.00373483	-0.219654
850442.0	0.00373483	0.179423
850492.0	0.00326797	-0.251539
850368.0	0.00326797	-0.00227689
850532.0	0.00280112	0.520983
850473.0	0.00233427	-0.216471
849247.0	0.00233427	0.0906179
850403.0	0.00233427	-0.0238212
850419.0	0.00233427	0.0925512
850398.0	0.00233427	0.344608
850411.0	0.00186741	0.0237668
850326.0	0.00140056	0.230774
850369.0	0.00140056	-0.301708
850543.0	0.00140056	-0.0393219
850515.0	0.00140056	0.174493
850392.0	0.000933707	0.172961
850550.0	0.000933707	-0.540343
850456.0	0.000933707	0.314428
850451.0	0.000933707	-0.237609
850544.0	0.000933707	0.103714
849060.0	0.000933707	0.0936798
850499.0	0.000933707	0.103294
849515.0	0.000933707	0.205626
850548.0	0.000466853	0.00167205
850549.0	0.000466853	-0.0203366
850340.0	0.000466853	-0.116684
850535.0	0.000466853	-0.376043
848953.0	0.000466853	-0.396374
850546.0	0.000466853	-0.00269137
